instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,1.13,1.08727,1.087153,0.034263,0.037618,0.036964,0.03819,0.034805
1,1.126,0.679734,0.835471,0.034819,0.028651,0.027699,0.029148,0.024558
2,1.146,0.67924,0.829686,0.03121,0.027683,0.027036,0.028753,0.025138
3,1.116,0.688191,0.828239,0.029938,0.029777,0.030172,0.031379,0.026297
4,1.126,0.675296,0.840983,0.034802,0.031207,0.03104,0.031799,0.027993
5,1.137,0.67978,0.843357,0.033808,0.033717,0.032261,0.034531,0.029664
6,1.133,0.677075,0.831041,0.03133,0.034049,0.032899,0.033884,0.030897
7,1.125,0.684868,0.832103,0.034063,0.036514,0.035816,0.037008,0.031091
8,1.126,0.691596,0.832417,0.034327,0.038138,0.037005,0.039072,0.032441
9,1.128,0.687894,0.835523,0.03424,0.038623,0.038699,0.039962,0.033695
10,1.128,0.677471,0.825255,0.034275,0.039285,0.038959,0.040212,0.034552
11,1.137,0.678755,0.843307,0.034087,0.041315,0.040488,0.042724,0.036087
12,1.1390000000000002,0.678576,0.828609,0.034349,0.042122,0.041486,0.044506,0.036828
13,1.157,0.684753,0.829568,0.033908,0.044719,0.044049,0.045302,0.039663
14,1.139,0.678186,0.828474,0.033777,0.044572,0.043641,0.050737,0.039616
15,1.134,0.676725,0.829741,0.034461,0.044202,0.044296,0.045293,0.040369
16,1.159,0.712763,0.821931,0.034398,0.045477,0.045195,0.045679,0.041532
17,1.133,0.684067,0.860166,0.033828,0.047037,0.045946,0.046994,0.041978
18,1.127,0.674479,0.8272,0.033877,0.047333,0.047358,0.048225,0.042597
19,1.134,0.682351,0.832718,0.03387,0.050121,0.048692,0.049161,0.043839
20,1.139,0.696438,0.834881,0.035026,0.050188,0.049776,0.05803,0.045083
21,1.133,0.674763,0.830414,0.03416,0.052526,0.051794,0.053621,0.045838
22,1.142,0.682267,0.829701,0.03401,0.054396,0.053128,0.054965,0.046813
23,1.156,0.683531,0.834285,0.030935,0.05407,0.053758,0.054899,0.047914
24,1.146,0.676926,0.827983,0.030804,0.0557,0.054943,0.055545,0.049264
25,1.131,0.677653,0.834814,0.033569,0.056099,0.056421,0.058111,0.049924
26,1.129,0.679635,0.833032,0.030986,0.057792,0.057135,0.057952,0.050721
27,1.123,0.683606,0.834906,0.031039,0.058186,0.057768,0.059078,0.051366
28,1.127,0.678442,0.845382,0.031089,0.060575,0.059582,0.060994,0.052171
29,1.142,0.687081,0.84233,0.029839,0.063102,0.062062,0.063237,0.054786
30,1.15,0.694356,0.831997,0.033725,0.061564,0.061088,0.062576,0.054351
31,1.129,0.678409,0.845268,0.034381,0.062751,0.061971,0.064261,0.055141
32,1.129,0.702688,0.834925,0.03092,0.063962,0.06289,0.06394,0.055758
33,1.137,0.677814,0.83046,0.03623,0.064316,0.063738,0.065216,0.057719
34,1.1429999999999998,0.676152,0.837422,0.033845,0.067471,0.066897,0.0679,0.057757
35,1.116,0.674295,0.831312,0.035569,0.067259,0.06796,0.070068,0.058119
36,1.124,0.682859,0.828657,0.034223,0.068277,0.067012,0.069023,0.059024
37,1.138,0.673597,0.821175,0.034428,0.068861,0.068377,0.069974,0.059872
38,1.1209999999999998,0.687473,0.831136,0.033855,0.070975,0.069319,0.070567,0.061382
39,1.142,0.677959,0.831147,0.030796,0.070919,0.070183,0.071925,0.061321
40,1.12,0.67909,0.827203,0.034218,0.071825,0.071191,0.072725,0.062531
41,1.141,0.675187,0.832434,0.034231,0.07292,0.072225,0.074629,0.063416
42,1.145,0.677328,0.83418,0.033972,0.073994,0.074304,0.07458,0.064686
43,1.142,0.686328,0.828496,0.034605,0.075487,0.075291,0.076177,0.065699
44,1.137,0.68326,0.841092,0.034169,0.076844,0.075413,0.077387,0.065994
45,1.128,0.680041,0.83874,0.034917,0.077908,0.076585,0.077646,0.068852
46,1.128,0.682694,0.837063,0.034088,0.078188,0.076807,0.079293,0.066905
47,1.138,0.680276,0.834784,0.031341,0.079461,0.078509,0.081186,0.068435
48,1.14,0.678432,0.838975,0.03406,0.082614,0.081598,0.084593,0.069192
49,1.142,0.67816,0.838142,0.030825,0.080604,0.080026,0.082406,0.069659
50,1.128,0.709466,0.837867,0.03407,0.082556,0.081383,0.083301,0.070067
51,1.124,0.685963,0.833412,0.031013,0.082203,0.081973,0.084076,0.071087
52,1.133,0.698799,0.852358,0.033882,0.084076,0.082898,0.084747,0.072708
53,1.133,0.681298,0.831472,0.030819,0.086827,0.086087,0.089469,0.073113
54,1.127,0.709229,0.83692,0.0312,0.088018,0.087258,0.09024,0.073957
55,1.127,0.691954,0.83752,0.031148,0.087997,0.086622,0.089516,0.074578
56,1.14,0.683845,0.843273,0.031204,0.090648,0.089064,0.092226,0.075745
57,1.131,0.673411,0.831979,0.03466,0.088912,0.088805,0.091197,0.076412
58,1.122,0.674447,0.844026,0.031484,0.091979,0.089463,0.096075,0.077046
59,1.146,0.746849,0.834388,0.031245,0.091345,0.09207,0.095832,0.077926
60,1.129,0.679108,0.832536,0.030783,0.0921,0.09519,0.09512,0.078702
61,1.16,0.681888,0.825038,0.030888,0.092558,0.092321,0.094726,0.079518
62,1.11,0.717064,0.825873,0.030801,0.095055,0.092469,0.09822,0.079873
63,1.131,0.676896,0.837222,0.031416,0.093626,0.093727,0.098763,0.081775
64,1.122,0.67728,0.825128,0.037526,0.094578,0.095783,0.100779,0.081231
65,1.136,0.678261,0.836581,0.034549,0.096608,0.095379,0.098781,0.082721
66,1.135,0.672009,0.841541,0.034089,0.098126,0.095913,0.102997,0.082967
67,1.134,0.676236,0.832692,0.034818,0.101178,0.100064,0.103171,0.083496
68,1.13,0.672765,0.825659,0.034243,0.101836,0.100935,0.105287,0.084909
69,1.122,0.679554,0.832834,0.031121,0.106751,0.106395,0.115675,0.086399
70,1.114,0.684112,0.837408,0.034277,0.099941,0.100184,0.103279,0.085651
71,1.14,0.675001,0.832607,0.030554,0.102613,0.099435,0.104683,0.086542
72,1.124,0.68342,0.83755,0.034087,0.102331,0.100688,0.105001,0.087266
73,1.122,0.681198,0.832008,0.033775,0.102526,0.102446,0.1056,0.088126
74,1.134,0.677208,0.841732,0.031335,0.103667,0.103541,0.10328,0.089225
75,1.156,0.69128,0.839856,0.031148,0.106605,0.105221,0.106919,0.089732
76,1.133,0.683526,0.830758,0.034092,0.104959,0.104787,0.107052,0.090811
77,1.1270000000000002,0.677904,0.83478,0.034397,0.105826,0.106569,0.111478,0.091425
78,1.124,0.677086,0.825521,0.034958,0.106788,0.108168,0.107858,0.091508
79,1.144,0.676854,0.832055,0.033631,0.109231,0.110319,0.109103,0.09149
80,1.129,0.677864,0.834476,0.034565,0.107428,0.10759,0.108395,0.093146
81,1.124,0.672576,0.832515,0.034928,0.108765,0.108972,0.109509,0.09301
82,1.116,0.69233,0.826832,0.034082,0.109169,0.110164,0.110024,0.093817
83,1.125,0.680942,0.829798,0.034893,0.110735,0.109819,0.111441,0.09456
84,1.127,0.676138,0.836039,0.032889,0.112224,0.11129,0.112919,0.095612
85,1.13,0.682314,0.830864,0.034599,0.116679,0.115563,0.115216,0.096583
86,1.145,0.680862,0.833728,0.034282,0.114499,0.115388,0.118242,0.097281
87,1.149,0.727426,0.8548,0.030956,0.115814,0.11547,0.116259,0.097668
88,1.125,0.686466,0.837423,0.033966,0.115628,0.120171,0.116097,0.098504
89,1.127,0.678141,0.822984,0.034348,0.116512,0.115598,0.117069,0.09832
90,1.124,0.681055,0.848126,0.030837,0.117498,0.118578,0.118275,0.09932
91,1.112,0.68395,0.829419,0.034393,0.117526,0.117079,0.119159,0.099967
92,1.128,0.682298,0.824617,0.030785,0.118241,0.118068,0.119815,0.10029
93,1.131,0.677003,0.827662,0.03458,0.119597,0.120207,0.120174,0.100864
94,1.124,0.671748,0.831769,0.034184,0.12119,0.118933,0.120818,0.101079
95,1.127,0.684981,0.832341,0.034726,0.120933,0.12006,0.121422,0.101927
96,1.127,0.678058,0.831216,0.034658,0.121922,0.120995,0.122821,0.102835
97,1.119,0.676188,0.82779,0.034647,0.122226,0.121964,0.12316,0.103322
98,1.137,0.67797,0.826881,0.034867,0.123038,0.122885,0.124018,0.103828
99,1.125,0.678438,0.836818,0.031103,0.124157,0.122951,0.123899,0.104093
100,1.1229999999999998,0.678514,0.830099,0.034204,0.1237,0.125256,0.124649,0.104842
101,1.13,0.682695,0.827192,0.034753,0.125024,0.124614,0.127252,0.105092
102,1.143,0.677211,0.827748,0.03098,0.126069,0.126207,0.126437,0.106391
103,1.118,0.676914,0.827558,0.03084,0.126565,0.127309,0.126742,0.107268
104,1.119,0.683774,0.830498,0.034598,0.127056,0.126974,0.1291,0.106946
105,1.137,0.672932,0.832444,0.030917,0.127841,0.127386,0.128746,0.107647
106,1.113,0.678456,0.832832,0.031144,0.128581,0.128069,0.128261,0.109115
107,1.138,0.676236,0.844984,0.031769,0.12909,0.127763,0.128405,0.108958
108,1.124,0.731872,0.828191,0.034463,0.130259,0.130554,0.131259,0.110135
109,1.118,0.675606,0.840407,0.034432,0.130321,0.134096,0.132295,0.110166
110,1.141,0.693183,0.900885,0.034331,0.131477,0.130671,0.131611,0.110418
111,1.135,0.683045,0.825561,0.034583,0.13046,0.130738,0.131305,0.110899
112,1.121,0.68033,0.830168,0.03448,0.133849,0.131787,0.133945,0.11579
113,1.125,0.679014,0.840248,0.034332,0.132942,0.132658,0.132951,0.1125
114,1.133,0.675636,0.82402,0.033778,0.133589,0.133398,0.133091,0.113308
115,1.128,0.69033,0.836603,0.033837,0.132911,0.133898,0.133899,0.117495
116,1.118,0.677712,0.834449,0.034638,0.135573,0.134164,0.137128,0.11431
117,1.1269999999999998,0.683379,0.847183,0.034149,0.136686,0.135157,0.136399,0.11442
118,1.114,0.674575,0.824035,0.034486,0.135211,0.135506,0.138035,0.114715
119,1.118,0.690912,0.839368,0.034187,0.1369,0.137619,0.140019,0.115266
120,1.132,0.671457,0.828121,0.034657,0.13842,0.136533,0.145977,0.11588
121,1.132,0.679393,0.830924,0.031305,0.140109,0.137625,0.143106,0.115836
122,1.114,0.677999,0.829854,0.030822,0.139499,0.139013,0.140031,0.12007
123,1.134,0.732422,0.828863,0.031231,0.143715,0.140098,0.13829,0.117083
124,1.139,0.669704,0.829157,0.031187,0.139771,0.139432,0.140917,0.118094
125,1.126,0.683058,0.843717,0.03129,0.144383,0.143525,0.145682,0.119149
126,1.124,0.680877,0.833148,0.034852,0.148023,0.139739,0.14743,0.119239
127,1.142,0.671118,0.846488,0.032724,0.146132,0.140219,0.146041,0.119678
128,1.129,0.681348,0.836998,0.034885,0.141426,0.142271,0.141314,0.120145
129,1.128,0.692841,0.848791,0.034678,0.143247,0.142903,0.143346,0.125737
130,1.118,0.678517,0.836389,0.034336,0.143545,0.143415,0.145121,0.1209
131,1.119,0.677811,0.843232,0.034796,0.145129,0.144352,0.14618,0.121512
132,1.1309999999999998,0.684252,0.832274,0.034073,0.146036,0.144991,0.147122,0.122134
133,1.136,0.673605,0.829642,0.033975,0.14459,0.146113,0.152691,0.12277
134,1.127,0.682174,0.837342,0.034239,0.146789,0.14599,0.150724,0.123248
135,1.158,0.712685,0.833853,0.034384,0.150718,0.147315,0.147948,0.123248
136,1.133,0.679437,0.830738,0.034258,0.147172,0.14703,0.148436,0.123988
137,1.113,0.676764,0.831358,0.031166,0.147642,0.147501,0.148958,0.123375
138,1.113,0.677459,0.834215,0.031495,0.154409,0.15364,0.15515,0.125226
139,1.126,0.685978,0.839952,0.031283,0.155548,0.153216,0.156835,0.125638
140,1.134,0.680992,0.823899,0.030974,0.160201,0.160669,0.160696,0.125574
141,1.124,0.673662,0.824883,0.030985,0.159028,0.158807,0.161245,0.126567
142,1.136,0.678179,0.836814,0.034647,0.151346,0.151779,0.157973,0.12592
143,1.132,0.679988,0.826596,0.035116,0.151168,0.15258,0.15403,0.127635
144,1.129,0.680816,0.836022,0.036015,0.156596,0.153171,0.158096,0.127478
145,1.129,0.679456,0.833382,0.034403,0.155519,0.154423,0.163291,0.128979
146,1.122,0.680275,0.844342,0.034544,0.164419,0.155265,0.156803,0.128592
147,1.142,0.698326,0.826814,0.035694,0.160942,0.156655,0.160832,0.129414
148,1.119,0.713652,0.828081,0.035474,0.159714,0.156642,0.158841,0.129292
149,1.128,0.677041,0.841333,0.033885,0.164717,0.156246,0.159345,0.131024
150,1.132,0.676577,0.842705,0.034733,0.157625,0.157484,0.167423,0.131437
151,1.122,0.717834,0.854332,0.034868,0.165819,0.15749,0.167525,0.131088
152,1.134,0.683671,0.831246,0.037033,0.157968,0.158284,0.167152,0.131468
153,1.1070000000000002,0.693636,0.831299,0.03399,0.160406,0.158603,0.160967,0.131884
154,1.123,0.67667,0.825999,0.030815,0.1688,0.159266,0.167563,0.13281
155,1.119,0.680953,0.828294,0.031067,0.168184,0.159672,0.161017,0.133826
156,1.128,0.682271,0.834305,0.031896,0.169823,0.160329,0.169575,0.132614
157,1.098,0.677129,0.834984,0.034106,0.169251,0.16075,0.169929,0.134312
158,1.118,0.687296,0.829717,0.030751,0.161357,0.161847,0.161534,0.133922
159,1.127,0.705899,0.844419,0.031707,0.162814,0.162139,0.162335,0.134709
160,1.137,0.693737,0.828183,0.029953,0.170672,0.162381,0.166004,0.134955
161,1.119,0.672002,0.835118,0.03027,0.169934,0.163142,0.171376,0.134807
162,1.125,0.68163,0.828192,0.034375,0.165072,0.163478,0.165214,0.135575
163,1.125,0.677591,0.828758,0.033887,0.171519,0.16306,0.17273,0.135919
164,1.138,0.682248,0.840491,0.0315,0.165743,0.165701,0.167013,0.136453
165,1.122,0.678395,0.827853,0.03082,0.172815,0.165872,0.17482,0.142549
166,1.127,0.686547,0.839388,0.034885,0.17248,0.165276,0.166127,0.142542
167,1.136,0.676874,0.824387,0.034536,0.166398,0.16632,0.167762,0.137684
168,1.131,0.682587,0.837328,0.034093,0.166015,0.166306,0.167074,0.1376
169,1.133,0.689291,0.841152,0.035885,0.168148,0.167543,0.167473,0.138803
170,1.132,0.681518,0.837713,0.034464,0.175522,0.166174,0.171374,0.139004
171,1.13,0.688579,0.832743,0.034846,0.168431,0.16962,0.176772,0.140529
172,1.123,0.698135,0.83163,0.034237,0.176336,0.167935,0.16919,0.139289
173,1.126,0.692683,0.860096,0.03389,0.168784,0.170102,0.171186,0.139395
174,1.131,0.708603,0.831449,0.031039,0.169591,0.16894,0.178512,0.140483
175,1.163,0.698895,0.837401,0.034024,0.170168,0.170527,0.170294,0.140716
176,1.135,0.680079,0.830722,0.034471,0.170137,0.171776,0.172513,0.141198
177,1.128,0.676611,0.834268,0.03554,0.169736,0.180642,0.179634,0.142
178,1.134,0.690557,0.829894,0.034582,0.171435,0.171961,0.171002,0.141067
179,1.134,0.671223,0.830551,0.031265,0.172484,0.172267,0.173627,0.142469
180,1.113,0.677632,0.834713,0.031603,0.174513,0.174656,0.175037,0.142904
181,1.118,0.716496,0.829134,0.03113,0.179965,0.182274,0.181852,0.14295
182,1.119,0.679223,0.828057,0.031395,0.174001,0.181318,0.17368,0.14283
183,1.123,0.675063,0.83331,0.031138,0.181476,0.173526,0.173481,0.143799
184,1.132,0.692199,0.835971,0.034348,0.174812,0.177349,0.175253,0.143901
185,1.137,0.679559,0.836518,0.031342,0.174359,0.180669,0.175532,0.143845
186,1.116,0.675916,0.825539,0.03393,0.174569,0.177611,0.177328,0.143976
187,1.126,0.695677,0.835659,0.034024,0.175273,0.185777,0.185197,0.144844
188,1.113,0.689422,0.822617,0.034448,0.175328,0.175554,0.176359,0.145587
189,1.125,0.699036,0.827979,0.033799,0.176274,0.179728,0.177889,0.14653
190,1.118,0.676294,0.831461,0.034449,0.176708,0.185831,0.177374,0.146067
191,1.116,0.680814,0.841774,0.035405,0.17716,0.185152,0.190569,0.146991
192,1.123,0.677827,0.827535,0.031701,0.178055,0.180745,0.186133,0.147528
193,1.156,0.687394,0.825859,0.03162,0.189201,0.177208,0.181257,0.147495
194,1.134,0.678489,0.838556,0.031857,0.184168,0.180266,0.179769,0.147158
195,1.121,0.735574,0.837882,0.031602,0.181562,0.190369,0.180493,0.147999
196,1.141,0.675479,0.839444,0.033972,0.180632,0.179659,0.180453,0.148961
197,1.14,0.684331,0.834605,0.030912,0.189473,0.181787,0.180916,0.149088
198,1.117,0.684469,0.83422,0.031307,0.190414,0.192605,0.19472,0.149145
199,1.114,0.679937,0.833926,0.031746,0.181272,0.181568,0.190913,0.149319
200,1.138,0.677594,0.832844,0.034961,0.193761,0.18968,0.193742,0.14935
201,1.137,0.685209,0.834891,0.03402,0.194625,0.18624,0.189762,0.150406
202,1.129,0.728114,0.829359,0.034124,0.181547,0.189521,0.184007,0.151204
203,1.118,0.68602,0.832839,0.034036,0.18577,0.187088,0.18739,0.15046
204,1.149,0.674245,0.835895,0.033971,0.19151,0.195705,0.190074,0.156362
205,1.134,0.677058,0.83168,0.034698,0.196321,0.193951,0.187156,0.151944
206,1.125,0.685271,0.831831,0.034434,0.190245,0.195045,0.196312,0.151501
207,1.113,0.67817,0.829826,0.034656,0.186212,0.195707,0.190891,0.152147
208,1.122,0.709934,0.839916,0.03447,0.183581,0.186189,0.188299,0.152062
209,1.132,0.682258,0.834658,0.033814,0.196212,0.204002,0.202423,0.155589
210,1.121,0.678936,0.829734,0.033954,0.196682,0.198832,0.197437,0.153075
211,1.13,0.679506,0.823829,0.034626,0.191723,0.193049,0.193324,0.153192
212,1.122,0.683043,0.835186,0.035042,0.19628,0.198658,0.196941,0.15372
213,1.118,0.675882,0.828613,0.033815,0.199399,0.200731,0.196267,0.153637
214,1.132,0.681344,0.833183,0.034346,0.1976,0.195269,0.187199,0.154632
215,1.179,0.678757,0.833533,0.034386,0.199705,0.189279,0.192628,0.154488
216,1.11,0.671365,0.831979,0.034611,0.196983,0.190862,0.198202,0.154546
217,1.133,0.673405,0.831249,0.031164,0.200327,0.201444,0.202099,0.154895
218,1.148,0.681947,0.847233,0.034095,0.19891,0.199409,0.196378,0.155715
219,1.122,0.694328,0.832776,0.039885,0.201955,0.198891,0.193931,0.156028
220,1.118,0.674121,0.82433,0.033888,0.196659,0.194621,0.197493,0.155868
221,1.132,0.684005,0.831425,0.034915,0.194818,0.202044,0.193678,0.156603
222,1.125,0.684298,0.836802,0.034306,0.200541,0.198269,0.192335,0.156069
223,1.132,0.682255,0.831161,0.034267,0.190837,0.194848,0.204648,0.157144
224,1.121,0.67948,0.832992,0.034918,0.192538,0.204612,0.202408,0.157698
225,1.123,0.680599,0.830548,0.035127,0.206515,0.203524,0.203967,0.158818
