instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.0,0.033094,0.033238,0.017822,0.021203,0.021757,0.021752,0.02206
1,0.0,0.034859,0.035695,0.017904,0.008262,0.00849,0.009018,0.008124
2,0.0,0.035035,0.03376,0.010377,0.008099,0.008391,0.008522,0.008273
3,0.0,0.035641,0.034171,0.00843,0.00828,0.008584,0.008792,0.008482
4,0.0,0.034895,0.034976,0.018342,0.00873,0.009104,0.008988,0.0091
5,0.0,0.035502,0.035542,0.01789,0.008759,0.00907,0.009163,0.008901
6,0.0,0.03616,0.034187,0.010606,0.009023,0.00926,0.009338,0.009318
7,0.0,0.034781,0.034961,0.017946,0.008667,0.009019,0.009143,0.008903
8,0.0,0.035303,0.03458,0.01789,0.00883,0.009112,0.009048,0.009272
9,0.0,0.035386,0.034309,0.017958,0.008935,0.009152,0.009688,0.009177
10,0.0,0.03394,0.03394,0.017543,0.009337,0.009515,0.009407,0.009011
11,0.0,0.034502,0.034514,0.017752,0.009179,0.009262,0.009553,0.009364
12,0.0,0.034609,0.034028,0.016968,0.009229,0.009274,0.009851,0.009193
13,0.0,0.034256,0.033876,0.017488,0.010068,0.010475,0.011107,0.011235
14,0.0,0.035307,0.034993,0.018017,0.009208,0.009469,0.010387,0.010036
15,0.0,0.0346,0.034524,0.017863,0.009192,0.009635,0.009812,0.009779
16,0.0,0.034479,0.034287,0.017976,0.00936,0.009512,0.00955,0.009952
17,0.0,0.034198,0.034241,0.018009,0.009505,0.009725,0.009689,0.009852
18,0.0,0.033343,0.033684,0.017295,0.009566,0.009498,0.010474,0.009414
19,0.0,0.034448,0.034357,0.017991,0.009719,0.009813,0.009853,0.010069
20,0.0,0.035578,0.03428,0.018042,0.009917,0.010117,0.010326,0.010634
21,0.0,0.034955,0.034194,0.017827,0.011341,0.011563,0.011563,0.010783
22,0.0,0.03491,0.035055,0.018082,0.009986,0.010162,0.010131,0.010192
23,0.0,0.034941,0.034892,0.010764,0.010029,0.010225,0.010413,0.010372
24,0.0,0.034316,0.034468,0.01059,0.01034,0.010262,0.010398,0.010431
25,0.0,0.034872,0.034491,0.018156,0.010336,0.010415,0.010873,0.010226
26,0.0,0.034686,0.033854,0.010712,0.01027,0.01034,0.010766,0.010564
27,0.0,0.034568,0.033417,0.010541,0.010129,0.010292,0.011119,0.010639
28,0.0,0.034673,0.03393,0.010382,0.014581,0.014597,0.014601,0.016786
29,0.0,0.034662,0.033736,0.008092,0.010148,0.010275,0.0108,0.010623
30,0.0,0.035596,0.034812,0.018372,0.01046,0.010876,0.011292,0.01133
31,0.0,0.035176,0.035209,0.018117,0.01059,0.010754,0.010939,0.010719
32,0.0,0.03417,0.034202,0.010322,0.01021,0.010487,0.010459,0.010623
33,0.0,0.033951,0.033867,0.0175,0.010522,0.010556,0.010796,0.011206
34,0.0,0.03584,0.034953,0.018034,0.010652,0.010894,0.011338,0.011047
35,0.0,0.034524,0.033377,0.01778,0.010395,0.010736,0.011206,0.011009
36,0.0,0.034371,0.034376,0.017848,0.010683,0.010933,0.011275,0.011265
37,0.0,0.035194,0.034167,0.017839,0.0106,0.010895,0.010959,0.011278
38,0.0,0.035182,0.034653,0.018063,0.010788,0.011194,0.011109,0.011331
39,0.0,0.03464,0.033855,0.010391,0.010888,0.010917,0.011015,0.010896
40,0.0,0.034788,0.033958,0.017759,0.010648,0.01259,0.011223,0.010848
41,0.0,0.034532,0.033565,0.017721,0.010715,0.011169,0.011544,0.010942
42,0.0,0.03439,0.034615,0.017849,0.011071,0.011187,0.011255,0.011463
43,0.0,0.035329,0.035257,0.018356,0.011328,0.011478,0.011424,0.011871
44,0.0,0.034871,0.034981,0.018083,0.011464,0.011512,0.011666,0.011859
45,0.0,0.03556,0.034957,0.018198,0.011534,0.011743,0.011762,0.011838
46,0.0,0.033921,0.034088,0.018081,0.011384,0.011391,0.011361,0.011456
47,0.0,0.034943,0.035072,0.010787,0.011722,0.011793,0.011886,0.012266
48,0.0,0.035465,0.034087,0.017825,0.014393,0.014596,0.014678,0.012395
49,0.0,0.034704,0.034421,0.010402,0.011287,0.011596,0.011908,0.01217
50,0.0,0.03504,0.034713,0.017615,0.011464,0.011698,0.012256,0.011668
51,0.0,0.03458,0.034075,0.010299,0.011381,0.011493,0.011524,0.011412
