instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.15,0.078745,0.180245,0.135952,0.071914,0.071191,0.073488,0.440757
1,0.14,0.161034,0.027277,0.116005,0.042549,0.151385,0.046255,1.15665
2,0.08,0.153279,0.024838,0.097579,0.254921,0.085282,0.050386,1.18996
3,0.03,0.066455,0.024322,0.089527,0.046376,0.134571,0.04694,0.318323
4,0.04,0.222826,0.024325,0.509652,0.167403,0.302227,0.052453,0.537907
5,0.06,0.268806,0.024572,0.641304,0.049576,0.127864,0.051195,0.260435
6,0.02,0.117486,0.02445,0.650878,0.053743,0.174515,0.052634,0.35295
7,0.11,0.368907,0.02451,1.2695,0.052552,0.100979,0.055891,14.5127
8,0.07,0.092266,0.02475,0.149202,0.053846,0.178839,0.055562,0.879083
9,0.2,0.220556,0.024817,0.499682,0.05608,0.296386,0.057008,2.1495
10,0.18,0.18374,0.02395,0.739416,0.25237,0.207998,0.058506,1.53339
11,0.09,0.105592,0.024241,0.245206,0.058612,0.114022,0.065126,1.59909
12,0.94,0.077477,0.024667,0.418593,0.061079,0.516154,0.068734,2.42857
13,0.02,0.084139,0.024386,0.517842,0.063093,0.139006,0.064151,1.42167
14,0.48,0.387106,0.024142,0.459257,0.065236,0.292088,0.075171,0.4642
15,0.32,0.074427,0.023994,1.01977,0.066091,0.404206,0.0671,0.637216
16,0.02,0.036892,0.024072,0.119023,0.067865,0.102738,0.071733,0.375876
17,0.49,0.144394,0.024694,0.295809,0.071953,0.071844,0.077421,0.748991
18,0.11,0.484706,0.023856,1.01135,0.069804,0.329966,0.070855,0.477545
19,0.08,0.15511,0.024112,0.770432,0.579554,0.350918,0.072456,1.34708
20,0.34,0.1803,0.024513,1.57319,0.073416,0.194055,0.076594,0.753793
21,0.12,0.140488,0.024529,0.22821,0.075695,0.090861,0.073809,0.648727
22,0.55,0.544282,0.024166,0.395135,0.116281,0.528424,0.075635,1.29317
23,0.38,0.122072,0.024412,0.131326,0.076941,0.342565,0.07988,0.653811
24,0.05,0.075973,0.024502,0.520175,0.322061,0.234424,0.080692,1.0983
25,0.02,0.03288,0.024344,0.091395,0.078792,0.109568,0.082534,0.281484
26,0.18,0.103414,0.02421,0.369361,0.301387,0.196227,0.081384,0.644478
27,0.11,0.1234,0.024266,0.559254,0.081626,0.282528,0.082188,1.53816
28,0.09,0.110744,0.024599,0.305014,0.081552,0.118835,0.081573,0.979441
29,0.06,0.079304,0.024185,0.402992,0.0835,0.085735,0.092824,1.55446
30,0.06,0.053927,0.024368,0.557948,0.086063,0.092152,0.087415,0.988595
31,0.02,0.039212,0.024648,0.383693,0.090337,0.130929,0.088692,0.646848
32,0.07,0.02731,0.024023,0.247085,0.088793,0.275192,0.090089,1.27507
33,0.18,0.140287,0.024237,0.149571,0.089618,0.1947,0.09201,0.531412
34,0.14,0.064672,0.024142,0.146815,0.092644,0.185111,0.09251,0.749546
35,0.09,0.104277,0.024668,0.238199,0.09233,0.434708,0.100318,0.628446
36,0.07,0.214982,0.024074,0.201131,0.426361,0.840102,0.099227,0.402946
37,0.09,0.046222,0.023892,1.26004,0.997474,0.3733,0.099923,1.64155
38,1.03,0.847806,0.024598,0.76589,0.095376,0.232463,0.099305,6.6013
39,0.43,0.042692,0.024674,0.550799,0.108388,0.464903,0.099465,2.77748
40,0.48,0.566154,0.026393,1.12986,1.96627,2.0514,0.100183,8.61657
41,0.03,0.479306,0.024039,1.12334,0.464282,0.420494,0.104402,1.76087
42,0.26,0.273165,0.024182,0.128923,0.251492,0.149158,0.103577,0.546222
43,0.18,0.044366,0.02414,0.202898,0.103626,0.157152,0.108687,0.609127
44,0.53,0.095468,0.024281,0.354409,0.601962,0.210653,0.108997,1.47946
45,0.01,0.033124,0.024168,0.243342,0.105369,0.109295,0.110697,0.373183
46,0.05,0.026123,0.023953,0.075186,0.104933,0.132805,0.108216,1.50507
47,0.18,0.070847,0.024736,0.123658,0.182789,0.164948,0.110475,1.09228
48,0.29,0.038112,0.024243,0.511658,0.106829,0.224297,0.109416,0.796223
49,0.28,0.722677,0.023883,0.832366,0.407536,0.685316,0.111706,0.752725
50,0.26,0.164822,0.024529,0.130733,0.111286,0.422225,0.119623,3.31731
51,0.08,0.079961,0.024665,0.533516,0.111902,0.115253,0.112491,1.12404
52,0.04,0.032773,0.024352,0.193593,0.111904,0.14971,0.121748,0.610575
53,0.01,0.191529,0.023884,0.570513,0.114577,0.38359,0.118144,1.82166
54,0.08,0.104172,0.024323,0.202648,0.115279,0.25755,0.118998,1.05825
55,0.02,0.046046,0.024061,1.00265,0.115697,0.570723,0.127559,1.84315
56,0.14,0.099413,0.024044,0.563414,0.639299,0.370821,0.137872,6.30282
57,0.25,0.043007,0.024027,0.741497,1.08364,0.141826,0.123145,2.47008
58,0.06,0.193883,0.02403,0.533075,0.119095,0.124115,0.124394,0.535538
59,0.34,0.363573,0.024658,0.700879,0.357509,0.492363,0.122422,0.209878
60,0.03,0.050997,0.024608,0.177469,0.123414,0.141575,0.125675,0.555765
61,0.6,0.377381,0.024482,0.412475,0.121395,1.2372,0.133451,0.796763
62,0.01,0.032825,0.023841,0.161355,0.120811,0.131718,0.125955,0.49386
63,0.08,0.096383,0.024269,0.437168,0.124018,0.229929,0.131187,0.329405
64,0.17,0.792125,0.023862,0.237257,0.753605,0.375656,0.130154,3.31604
65,0.08,0.126205,0.023963,2.90005,0.23475,0.594241,0.134127,0.603342
66,0.22,0.229952,0.024512,0.357796,0.251198,0.277883,0.131074,1.75616
67,0.04,0.057189,0.024206,0.248734,0.129305,0.13173,0.132843,0.462884
68,2.18,0.752301,0.023965,1.565,0.436855,0.335796,0.136178,3.2763
69,0.08,0.452807,0.024007,0.588611,0.129645,0.396029,0.139858,3.12502
70,0.07,0.088146,0.028432,1.12709,0.128549,0.178113,0.138182,2.30744
71,0.23,0.069775,0.023969,0.312738,0.295192,0.603425,0.13653,0.458342
72,0.03,0.07247,0.024398,0.8067,0.131263,0.140577,0.144159,1.49034
73,0.06,0.197666,0.024426,0.283459,0.134121,0.194569,0.138934,0.977995
74,0.03,0.147702,0.024273,0.178451,0.135684,0.151133,0.141844,0.274403
75,0.02,0.054475,0.024512,0.225267,0.136633,0.216665,0.138611,0.49578
76,0.03,0.052432,0.024035,0.178105,0.136678,0.315249,0.138387,2.86094
77,0.12,0.084548,0.024763,0.083941,0.13834,0.516226,0.141401,0.791226
78,0.01,0.03173,0.023888,0.324401,0.342635,0.401803,0.140134,1.78009
79,0.37,1.209495,0.02472,0.268078,0.142211,1.64705,0.145594,1.74055
80,0.01,0.028644,0.024472,0.209968,0.164949,0.185767,0.143319,1.37559
81,0.53,0.583522,0.024481,0.392635,0.142322,0.966847,0.144104,4.41129
82,0.24,0.415843,0.025774,0.761898,0.142687,0.543456,0.150649,3.35059
83,0.12,0.935423,0.024573,0.465823,0.143327,0.707288,0.152535,0.619031
84,0.53,0.18943,0.024576,0.429901,0.145072,0.494514,0.146481,1.53722
85,0.11,0.124936,0.024232,0.3429,0.144378,1.92797,0.152988,1.03887
86,0.06,0.236433,0.026596,0.194759,0.246801,0.173989,0.15124,0.345315
87,0.08,0.091073,0.024507,0.302042,0.186524,0.563334,0.147584,1.18096
88,0.38,0.060961,0.02467,0.486078,0.148301,0.602787,0.150411,1.48857
89,0.04,0.031106,0.02399,1.13225,0.14825,1.17815,0.150534,1.48602
90,0.09,0.104155,0.024725,0.122403,0.14966,0.258995,0.15115,1.04635
91,0.09,0.110497,0.024162,1.52781,0.150274,0.526421,0.157109,0.399786
92,0.6,0.120256,0.024142,1.78489,0.151693,0.954589,0.153607,1.42092
93,0.01,0.038205,0.024791,0.08398,0.153041,0.203819,0.15486,0.447822
94,0.05,0.171365,0.024361,0.221943,0.154003,0.214516,0.156131,1.2241
95,0.21,0.248732,0.024456,0.409461,0.155207,0.283161,0.155803,0.686113
96,0.02,0.045835,0.024249,0.302969,0.15824,0.183627,0.158813,0.622088
97,0.11,0.245072,0.024246,0.333967,0.155464,1.09752,0.161324,1.35903
98,0.15,0.191607,0.024357,0.09609,0.158481,0.167277,0.159046,1.3093
99,0.23,0.218865,0.024077,0.844223,0.159368,0.315276,0.163817,1.4149
100,0.39,0.234525,0.02447,0.265319,0.159693,0.284941,0.161816,1.25503
101,0.03,0.046562,0.024466,0.465224,0.160684,0.175386,0.162477,0.500222
102,0.04,0.063562,0.02416,0.223128,0.162068,0.269023,0.162987,0.765404
103,0.42,0.027786,0.024272,0.352193,0.162261,0.47578,0.165888,0.398532
104,0.18,0.310016,0.024259,1.27622,0.162309,0.373969,0.170769,7.26242
