instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,1.28,1.199114,1.300642,0.188037,0.109965,0.108538,0.112114,0.475728
1,1.266,0.875631,0.898447,0.168728,0.071932,0.179936,0.076177,1.18446
2,1.226,0.867558,0.888286,0.139166,0.283261,0.113204,0.079815,1.2188
3,1.146,0.790291,0.886734,0.1278949999999999,0.077169,0.165739,0.07904,0.348782
4,1.166,0.933021,0.900287,0.562796,0.199336,0.33419,0.084966,0.569454
5,1.197,0.984092,0.903474,0.693002,0.084427,0.161149,0.086473,0.293913
6,1.153,0.830725,0.889681,0.6928139999999999,0.088555,0.208405,0.087317,0.387608
7,1.235,1.088559,0.891577,1.321509,0.090048,0.137992,0.093862,14.5475
8,1.196,0.819168,0.89175,0.201419,0.092988,0.217058,0.095633,0.919766
9,1.328,0.943841,0.894651,0.55188,0.095717,0.336344,0.098096,2.18767
10,1.308,0.895154,0.883147,0.791234,0.292697,0.248447,0.099779,1.57333
11,1.227,0.818854,0.902066,0.297045,0.101296,0.155831,0.108892,1.63977
12,2.079,0.790666,0.887306,0.46991,0.104241,0.558883,0.114336,2.4702
13,1.177,0.803152,0.887834,0.569238,0.108897,0.184611,0.110588,1.46743
14,1.619,1.100602,0.887613,0.511051,0.110684,0.336844,0.12685,0.508623
15,1.454,0.785755,0.888262,1.072094,0.111193,0.449906,0.113381,0.681796
16,1.179,0.784138,0.880293,0.171397,0.114232,0.149319,0.118315,0.42201
17,1.623,0.862661,0.919104,0.347646,0.119885,0.11886,0.125323,0.795217
18,1.237,1.19253,0.884743,1.062522,0.118081,0.378278,0.120097,0.52482
19,1.214,0.871913,0.891189,0.822293,0.630592,0.400862,0.122519,1.39527
20,1.479,0.91232,0.893677,1.626258,0.125157,0.245181,0.135559,0.803487
21,1.253,0.850209,0.889139,0.280197,0.129265,0.14399,0.128499,0.69939
22,1.692,1.261462,0.888925,0.447227,0.171684,0.582629,0.131559,1.34451
23,1.536,0.840547,0.893591,0.1730249999999999,0.132194,0.397786,0.135766,0.706434
24,1.196,0.787219,0.886956,0.5615690000000001,0.378751,0.290706,0.137242,1.15207
