instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.01,0.002182,0.002134,0.007902,0.010788,0.0071,0.010825,0.009458
1,0.008,0.001732,0.022343,0.007814,0.001613,0.001251,0.001684,0.001589
2,0.008,0.001801,0.022886,0.007658,0.001241,0.000976,0.001326,0.001254
3,0.009,0.001867,0.022485,0.007936,0.001227,0.000981,0.001052,0.001032
4,0.009,0.00192,0.022819,0.007948,0.000992,0.000983,0.001008,0.00103
5,0.011,0.002018,0.022714,0.006287,0.001048,0.001001,0.001015,0.001012
6,0.009,0.002066,0.023157,0.006324,0.005844,0.005643,0.005965,0.005355
7,0.011,0.00213,0.022798,0.006324,0.001478,0.001437,0.001534,0.001361
8,0.012,0.002243,0.023657,0.006347,0.001358,0.001363,0.001392,0.00129
9,0.012,0.002294,0.023407,0.006439,0.001422,0.001387,0.001493,0.001266
10,0.01,0.002406,0.02368,0.006313,0.00142,0.001385,0.001373,0.00128
11,0.012,0.002441,0.023449,0.006422,0.001408,0.001442,0.001443,0.001313
12,0.01,0.002539,0.023951,0.006458,0.006097,0.005897,0.006259,0.005399
13,0.01,0.002563,0.024077,0.006388,0.001643,0.001692,0.001725,0.00156
14,0.01,0.002703,0.024277,0.006568,0.001624,0.001606,0.001622,0.001379
15,0.011,0.002692,0.024196,0.006477,0.001597,0.001601,0.001695,0.001489
16,0.011,0.002776,0.024578,0.006592,0.001633,0.001626,0.001751,0.001442
17,0.011,0.002877,0.024786,0.006442,0.001623,0.001604,0.001581,0.001418
18,0.011,0.002953,0.024757,0.006558,0.001612,0.001632,0.001718,0.001505
19,0.014,0.003035,0.024817,0.006629,0.001634,0.001646,0.001726,0.00142
20,0.012,0.003098,0.025062,0.006518,0.001635,0.001636,0.001613,0.001525
21,0.012,0.003142,0.025159,0.006632,0.001645,0.001632,0.001745,0.001483
22,0.014,0.003281,0.025125,0.005754,0.001715,0.001624,0.001687,0.00149
23,0.012,0.003341,0.025476,0.005802,0.001665,0.001648,0.001739,0.001489
24,0.015,0.003422,0.026108,0.006569,0.001721,0.001687,0.001736,0.001492
25,0.012,0.003612,0.025699,0.006636,0.001688,0.001628,0.001692,0.00151
26,0.013,0.003565,0.026114,0.006686,0.00165,0.001661,0.00166,0.001479
27,0.015,0.003572,0.025691,0.006732,0.001665,0.001687,0.001738,0.00151
28,0.013,0.003657,0.026177,0.005785,0.001659,0.00168,0.001754,0.001468
29,0.015,0.003732,0.026468,0.005868,0.001681,0.001646,0.001645,0.001532
30,0.013,0.003836,0.026211,0.005781,0.001623,0.001657,0.001691,0.001462
31,0.013,0.003883,0.026419,0.005858,0.001651,0.00165,0.001674,0.001487
32,0.016,0.003937,0.026488,0.005956,0.001643,0.001661,0.00165,0.001506
33,0.014,0.004008,0.027003,0.005859,0.001657,0.001652,0.001689,0.001502
34,0.016,0.004124,0.02693,0.005781,0.001668,0.001612,0.001737,0.001519
35,0.014,0.004126,0.027191,0.006795,0.001669,0.001625,0.001759,0.001486
36,0.014,0.004292,0.027171,0.006913,0.00167,0.001606,0.001628,0.00152
37,0.014,0.005043,0.027199,0.006942,0.001723,0.001642,0.001637,0.001481
38,0.014,0.004374,0.027625,0.006785,0.001668,0.001578,0.001706,0.001486
39,0.017,0.004452,0.027546,0.006909,0.001651,0.001629,0.001724,0.001504
40,0.014,0.004585,0.027627,0.00688,0.001709,0.001656,0.001698,0.001482
41,0.015,0.004564,0.027691,0.006948,0.001681,0.001663,0.001749,0.001534
42,0.015,0.004699,0.027804,0.00696,0.001669,0.001652,0.001749,0.00151
43,0.018,0.004718,0.027799,0.006986,0.001684,0.001709,0.001776,0.001488
44,0.018,0.004875,0.028234,0.007109,0.001689,0.001674,0.001668,0.001543
45,0.015,0.005024,0.028667,0.007009,0.001684,0.001677,0.001662,0.001571
46,0.017,0.004938,0.028509,0.009209,0.001661,0.001708,0.00172,0.001522
47,0.015,0.005254,0.028514,0.007106,0.001678,0.001677,0.001762,0.001575
