instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.0,0.000326,0.000315,0.002228,0.000911,0.000754,0.000964,0.000991
1,0.0,0.000142,0.000156,0.002246,0.00102,0.000757,0.000938,0.002114
2,0.0,0.00013,0.000146,0.002248,0.000891,0.000732,0.00091,0.001867
3,0.0,0.000128,0.000144,0.002338,0.000813,0.00073,0.000728,0.001713
4,0.0,0.00013,0.000145,0.002404,0.000742,0.000741,0.000733,0.001683
5,0.0,0.000129,0.000145,0.001879,0.000739,0.000729,0.000751,0.001709
6,0.0,0.000128,0.000143,0.001818,0.001384,0.001343,0.001349,0.002464
7,0.0,0.000127,0.000144,0.001846,0.001725,0.001681,0.001677,0.003451
8,0.0,0.000134,0.000145,0.001834,0.001714,0.001702,0.001756,0.003387
9,0.0,0.000128,0.000149,0.001843,0.001755,0.001729,0.001678,0.003447
10,0.0,0.000135,0.000169,0.001851,0.001737,0.001727,0.001778,0.003411
11,0.0,0.000131,0.000146,0.001848,0.001736,0.001745,0.001674,0.0034
12,0.0,0.00013,0.000145,0.001895,0.002458,0.002446,0.002503,0.004467
13,0.0,0.000136,0.000154,0.001896,0.002736,0.002634,0.002884,0.005087
14,0.0,0.000136,0.000153,0.001872,0.002684,0.002648,0.002757,0.004991
15,0.0,0.000136,0.000145,0.001856,0.002701,0.002658,0.002651,0.005032
16,0.0,0.000133,0.000143,0.002087,0.002724,0.002662,0.002823,0.005062
17,0.0,0.000137,0.000164,0.001891,0.002723,0.002667,0.002658,0.005391
18,0.0,0.000131,0.000145,0.0019,0.003618,0.003548,0.003641,0.005521
19,0.0,0.000131,0.000156,0.001954,0.00368,0.00361,0.003766,0.005519
20,0.0,0.00013,0.000146,0.001938,0.003683,0.003492,0.003688,0.005466
21,0.0,0.000132,0.000145,0.001919,0.003811,0.003628,0.003684,0.005679
22,0.0,0.000131,0.000147,0.001668,0.003781,0.00352,0.003708,0.005485
23,0.0,0.000131,0.000146,0.00168,0.00383,0.003615,0.003799,0.005512
24,0.0,0.000129,0.000162,0.00198,0.003698,0.003373,0.003874,0.005517
25,0.0,0.000129,0.000145,0.001925,0.003668,0.003361,0.003806,0.005537
26,0.0,0.000132,0.000147,0.001926,0.00353,0.003374,0.00358,0.00555
27,0.0,0.000132,0.000145,0.001962,0.003532,0.003667,0.003527,0.005579
28,0.0,0.000132,0.000147,0.001715,0.003662,0.003743,0.003603,0.005763
29,0.0,0.000131,0.000151,0.001696,0.003618,0.003682,0.003663,0.00583
