instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.01,0.003742,0.003679,0.012721,0.013093,0.008657,0.013258,0.011462
1,0.008,0.002902,0.02352,0.012627,0.003059,0.002382,0.003094,0.003997
2,0.008,0.002949,0.024048,0.012461,0.002302,0.001852,0.002403,0.003184
3,0.009,0.00302,0.023649,0.012802,0.002211,0.001845,0.001957,0.002805
4,0.009,0.003086,0.023988,0.012885,0.00189,0.001867,0.001877,0.002763
5,0.011,0.003189,0.023911,0.010147,0.001924,0.001865,0.001912,0.002771
6,0.009,0.003239,0.024342,0.010142,0.007391,0.007128,0.007458,0.007886
7,0.011,0.003312,0.023995,0.010156,0.003574,0.003451,0.003557,0.005049
8,0.012,0.003437,0.024853,0.010171,0.003243,0.003233,0.003327,0.004764
9,0.012,0.003488,0.024616,0.0102919999999999,0.003363,0.003291,0.003338,0.004791
10,0.01,0.003618,0.024918,0.010196,0.003346,0.003297,0.003321,0.004769
11,0.012,0.003655,0.024675,0.01028,0.003324,0.003366,0.003313,0.004801
12,0.01,0.00376,0.025191,0.010386,0.00874,0.008526,0.008933,0.009948
13,0.01,0.003793,0.025322,0.010268,0.00474,0.004678,0.00498,0.006911
14,0.01,0.003942,0.025527,0.010466,0.004482,0.004426,0.004548,0.006452
15,0.011,0.003934,0.025457,0.01033,0.004473,0.004429,0.00453,0.006603
16,0.011,0.004025,0.025831,0.010698,0.004532,0.004459,0.004742,0.006595
17,0.011,0.004135,0.026066,0.010358,0.004532,0.004443,0.004408,0.006899
18,0.011,0.004215,0.026031,0.010516,0.005423,0.005351,0.005542,0.007114
19,0.014,0.00431,0.026111,0.010616,0.00551,0.005428,0.005663,0.00702
20,0.012,0.004376,0.026343,0.010491,0.005493,0.00531,0.005471,0.007082
21,0.012,0.004439,0.026471,0.010617,0.005649,0.005432,0.0056,0.007245
22,0.014,0.004576,0.026433,0.0091829999999999,0.005674,0.005335,0.005587,0.007055
23,0.012,0.004638,0.026797,0.009239,0.005681,0.005456,0.00573,0.007082
24,0.015,0.00473,0.027436,0.010586,0.005595,0.005236,0.005793,0.007102
25,0.012,0.004924,0.027035,0.010604,0.005534,0.005163,0.005702,0.007138
26,0.013,0.004886,0.027445,0.010671,0.005358,0.005211,0.005418,0.007119
27,0.015,0.004899,0.02703,0.010759,0.005375,0.005529,0.005451,0.007171
28,0.013,0.004993,0.02752,0.00927,0.005519,0.005626,0.005536,0.007313
29,0.015,0.005075,0.027823,0.009333,0.005479,0.005504,0.005509,0.007456
30,0.013,0.005188,0.027566,0.009306,0.005528,0.005514,0.005675,0.007254
31,0.013,0.005256,0.027783,0.009357,0.00551,0.005545,0.005704,0.007295
32,0.016,0.005297,0.02787,0.009471,0.005503,0.005547,0.005667,0.007313
33,0.014,0.005373,0.028381,0.0093619999999999,0.005538,0.005534,0.005493,0.007308
34,0.016,0.00551,0.028323,0.009361,0.005552,0.005496,0.005601,0.007513
35,0.014,0.005507,0.02858,0.010907,0.005558,0.005202,0.005907,0.007308
36,0.014,0.005688,0.028607,0.011067,0.005629,0.005315,0.005775,0.007342
37,0.014,0.006452,0.028623,0.011068,0.00581,0.005306,0.005679,0.007314
