instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,0.8490000000000038,0.571837,0.588799,1.39791,1.20274,1.18193
1,0.8509999999999991,0.591962,1.044141,0.376396,0.349469,0.354544
2,0.8689999999999998,0.571078,1.047624,0.305551,0.276657,0.286103
3,0.8449999999999989,0.567896,1.055002,0.305428,0.278714,0.283925
4,0.8379999999999939,0.580177,1.044971,0.305834,0.280415,0.285999
5,0.8489999999999966,0.572367,1.069599,0.307929,0.283157,0.288802
6,0.8320000000000007,0.579048,1.064113,0.308114,0.279665,0.288014
7,0.8460000000000036,0.572697,1.043481,0.308953,0.282046,0.290692
8,0.8470000000000013,0.57351,1.0357,0.311848,0.284622,0.290755
9,0.8430000000000035,0.583263,1.047068,0.319457,0.287269,0.297337
10,0.8400000000000034,0.576912,1.045342,0.317617,0.285983,0.299434
11,0.8459999999999965,0.583294,1.042328,0.319515,0.286661,0.299784
12,0.8440000000000012,0.579464,1.042815,0.320251,0.287943,0.302249
13,0.8369999999999962,0.574124,1.041936,0.321559,0.288485,0.302773
14,0.8279999999999959,0.577302,1.041965,0.317786,0.289195,0.299805
15,0.8350000000000009,0.570263,1.043734,0.321644,0.29225,0.31152
16,0.8429999999999964,0.589916,1.047425,0.319605,0.292541,0.303643
17,0.8410000000000011,0.585968,1.04657,0.323625,0.296637,0.30461
18,0.8329999999999984,0.573958,1.046363,0.322601,0.294654,0.304673
19,0.8329999999999984,0.577032,1.040544,0.326606,0.296678,0.306224
20,0.8340000000000032,0.577129,1.048818,0.325363,0.296946,0.307421
21,0.8540000000000063,0.575824,1.052608,0.328088,0.295374,0.309855
22,0.8310000000000031,0.575939,1.050863,0.331025,0.296853,0.311307
23,0.8530000000000015,0.576883,1.043947,0.330787,0.298477,0.310468
24,0.8359999999999985,0.579693,1.042311,0.331328,0.302351,0.313707
25,0.8389999999999986,0.581265,1.053823,0.336201,0.300481,0.317004
26,0.8390000000000057,0.572409,1.045396,0.334892,0.302134,0.317732
27,0.8339999999999961,0.575392,1.041668,0.335912,0.302288,0.318502
28,0.8389999999999986,0.576242,1.04216,0.34049,0.305647,0.321161
29,0.8350000000000009,0.575049,1.049013,0.338926,0.306662,0.321028
30,0.8389999999999986,0.57685,1.051622,0.342221,0.306436,0.323309
31,0.8410000000000011,0.57417,1.048312,0.342109,0.307289,0.322203
32,0.8470000000000013,0.572753,1.046808,0.344165,0.30744,0.329538
33,0.8370000000000033,0.573207,1.049935,0.346442,0.306842,0.32791
34,0.8560000000000016,0.573371,1.045979,0.347052,0.308039,0.329504
35,0.8340000000000032,0.574809,1.070959,0.34841,0.310678,0.330455
36,0.8629999999999995,0.57154,1.048361,0.351183,0.309545,0.332313
37,0.8440000000000012,0.575325,1.051985,0.353003,0.311475,0.332755
38,0.8530000000000015,0.570648,1.051147,0.351377,0.313491,0.332218
39,0.8609999999999971,0.574635,1.04797,0.354823,0.317634,0.335804
40,0.8500000000000014,0.574852,1.055233,0.357249,0.313283,0.336344
41,0.8369999999999962,0.572639,1.053131,0.362572,0.319406,0.34031
42,0.8590000000000018,0.57443,1.050864,0.35866,0.321084,0.34597
43,0.8410000000000011,0.578991,1.052952,0.362101,0.317968,0.342713
44,0.8539999999999992,0.580548,1.05399,0.36454,0.321565,0.362974
45,0.8370000000000033,0.571149,1.045914,0.364021,0.319942,0.351175
46,0.8429999999999964,0.580132,1.052118,0.367052,0.322379,0.353281
47,0.8449999999999989,0.574604,1.051479,0.367523,0.322958,0.348243
