instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,0.0,0.001581,0.001598,0.003829,0.003841,0.003834
1,0.0,0.060959,0.06012,0.000186,0.000192,0.000226
2,0.0,0.085598,0.05699,0.000206,0.000225,0.000236
3,0.0,0.061111,0.0556,0.00023,0.000248,0.000261
4,0.0,0.062587,0.055703,0.000261,0.000282,0.000287
5,0.0,0.062943,0.057055,0.000303,0.000559,0.000307
6,0.0,0.063134,0.056955,0.000309,0.000375,0.000348
7,0.0,0.062851,0.057453,0.000348,0.000563,0.00037
8,0.0,0.063329,0.057045,0.000362,0.000388,0.000385
9,0.0,0.063434,0.057819,0.000379,0.000417,0.000401
10,0.0,0.062866,0.057172,0.000415,0.000455,0.000425
11,0.0,0.063066,0.057961,0.000417,0.000461,0.000444
12,0.0,0.063089,0.057836,0.000449,0.000504,0.000481
13,0.0,0.06354,0.057261,0.000461,0.000516,0.000483
14,0.0,0.063288,0.057784,0.000515,0.000534,0.000514
15,0.0,0.06392,0.059192,0.000541,0.000583,0.000559
16,0.0,0.06393,0.05852,0.000543,0.000607,0.000581
17,0.0,0.062662,0.057949,0.000568,0.000621,0.000575
18,0.0,0.062984,0.058403,0.000585,0.000658,0.000629
19,0.0,0.064102,0.05852,0.000621,0.000671,0.000659
20,0.0,0.064435,0.058539,0.000631,0.000722,0.000651
21,0.0,0.064445,0.058389,0.000663,0.000732,0.000665
22,0.0,0.064371,0.058497,0.000733,0.000764,0.000698
23,0.0,0.064124,0.058607,0.000784,0.000814,0.000737
24,0.0,0.064196,0.058887,0.000719,0.000821,0.000773
25,0.0,0.064873,0.058923,0.00082,0.000853,0.000817
26,0.0,0.064675,0.05883,0.000787,0.00087,0.000834
27,0.0,0.065634,0.058912,0.000795,0.000897,0.000849
28,0.0,0.064998,0.059386,0.000877,0.000925,0.000831
29,0.0,0.066691,0.059309,0.000848,0.000928,0.000851
30,0.0,0.06756,0.059182,0.000912,0.000978,0.00089
31,0.0,0.063751,0.059217,0.000956,0.001018,0.000951
32,0.0,0.065826,0.05918,0.000953,0.001028,0.000932
33,0.0,0.064625,0.059731,0.00094,0.001045,0.000949
34,0.0,0.063788,0.060319,0.000986,0.001071,0.001047
35,0.0,0.064278,0.059621,0.00099,0.001125,0.001014
36,0.0,0.065199,0.060251,0.001071,0.001134,0.001089
37,0.0,0.063763,0.059853,0.001112,0.00115,0.001108
38,0.0,0.06393,0.060024,0.001049,0.001202,0.00113
39,0.0,0.064272,0.060278,0.001148,0.001203,0.001174
40,0.0,0.064713,0.060174,0.00112,0.001227,0.001173
41,0.0,0.066048,0.060399,0.001209,0.001245,0.001212
42,0.0,0.066416,0.060178,0.001135,0.001287,0.001231
43,0.0,0.06664,0.060344,0.001193,0.001329,0.001235
44,0.0,0.065605,0.061272,0.001266,0.001381,0.001286
45,0.0,0.065912,0.060772,0.001297,0.001401,0.001289
46,0.0,0.066162,0.060229,0.001306,0.001385,0.001299
47,0.0,0.065267,0.060869,0.001335,0.001429,0.001336
48,0.0,0.065216,0.061135,0.001349,0.001405,0.001296
49,0.0,0.067279,0.06108,0.001372,0.001461,0.001315
50,0.0,0.064977,0.061205,0.001404,0.001482,0.001411
51,0.0,0.065162,0.061624,0.001458,0.001521,0.001389
52,0.0,0.065135,0.06102,0.001466,0.001578,0.00138
53,0.0,0.065456,0.061249,0.001505,0.001547,0.001481
54,0.0,0.066003,0.061079,0.001537,0.001591,0.001498
55,0.0,0.06615,0.107069,0.001534,0.001594,0.001522
56,0.0,0.066201,0.060934,0.001568,0.001659,0.001475
57,0.0,0.066505,0.061301,0.001591,0.001698,0.001502
58,0.0,0.066164,0.062224,0.001631,0.001699,0.001538
59,0.0,0.066012,0.061767,0.001679,0.001728,0.001582
60,0.0,0.065551,0.061656,0.00167,0.001717,0.001656
61,0.0,0.066022,0.061686,0.001712,0.001745,0.001665
62,0.0,0.066456,0.061662,0.001707,0.001764,0.001665
63,0.0,0.066203,0.062118,0.001735,0.001783,0.001633
64,0.0,0.066063,0.061719,0.001762,0.001819,0.001693
65,0.0,0.066166,0.062103,0.001754,0.001831,0.001714
66,0.0,0.066211,0.06214,0.001818,0.001904,0.001734
67,0.0,0.066571,0.062315,0.001841,0.001891,0.001817
68,0.0,0.066758,0.062125,0.001857,0.001942,0.001848
69,0.0,0.067333,0.062946,0.001908,0.001944,0.001914
70,0.0,0.067146,0.06313,0.001817,0.002022,0.0019
71,0.0,0.068406,0.062432,0.001866,0.001974,0.001925
72,0.0,0.067306,0.06301,0.001935,0.002032,0.001971
73,0.0,0.067403,0.06284,0.001912,0.002064,0.001972
74,0.0,0.067516,0.062946,0.001898,0.002078,0.002012
75,0.0,0.067123,0.064049,0.001988,0.002119,0.002025
76,0.0,0.067155,0.063426,0.002083,0.002115,0.002089
77,0.0,0.06714,0.063143,0.001932,0.002189,0.002079
78,0.0,0.06708,0.067642,0.002081,0.002196,0.002094
79,0.0,0.067437,0.064256,0.002013,0.002306,0.002141
80,0.0,0.067281,0.065168,0.002035,0.002339,0.002174
81,0.0,0.067559,0.063664,0.002066,0.00224,0.002171
82,0.0,0.067878,0.06387,0.002115,0.002283,0.002211
83,0.0,0.069154,0.063653,0.002145,0.002328,0.00223
84,0.0,0.068089,0.064021,0.002117,0.002493,0.002249
85,0.0,0.068456,0.063978,0.002153,0.002456,0.002376
86,0.0,0.067938,0.063749,0.002248,0.002381,0.002329
87,0.0,0.067972,0.064023,0.002259,0.002496,0.002337
88,0.0,0.068087,0.064012,0.002182,0.002533,0.002373
89,0.0,0.069381,0.06401,0.002268,0.00247,0.002372
90,0.0,0.068886,0.065091,0.002266,0.00249,0.002414
91,0.0,0.069607,0.065063,0.00225,0.002495,0.00246
92,0.0,0.069848,0.064899,0.002277,0.002651,0.002465
93,0.0,0.06848,0.064628,0.002463,0.002573,0.002497
94,0.0,0.068409,0.064557,0.002475,0.002714,0.002512
95,0.0,0.069334,0.10501,0.002534,0.002713,0.002554
96,0.0,0.069851,0.064788,0.002549,0.002763,0.002546
97,0.0,0.068774,0.064366,0.002567,0.002766,0.002591
98,0.0,0.070127,0.064248,0.00255,0.002694,0.002552
99,0.0,0.070255,0.065393,0.002602,0.002823,0.002614
