instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,63.482,144.652122,199.36286,952.794,962.375,960.975
1,63.187,144.498797,2.578059,998.785,1017.94,54.9909
2,63.33,144.314517,2.558866,2.14805,1017.75,2.13766
3,63.245,144.78971,2.567783,2.1431,1013.51,2.13248
4,63.293,144.803833,2.564241,2.13961,1016.25,2.13981
5,63.282,145.384793,2.581342,2.15932,1013.56,2.16593
6,63.433,144.574686,2.578192,2.16869,1011.01,2.16882
7,63.187,144.7952,2.585678,2.18899,1012.48,2.18017
8,63.215,144.519435,2.572179,2.21136,1016.74,2.21261
9,63.412,144.462205,2.582417,2.20767,1010.7,2.23027
10,63.59,144.574319,2.576709,2.2134,1014.06,2.24653
11,63.307,144.481492,2.587271,2.23947,1011.31,2.26584
12,63.499,144.639414,2.566224,2.23407,1012.09,2.27569
13,63.287,144.971929,2.579875,2.28412,1008.96,2.27444
14,63.184,144.596073,2.578191,2.26405,1012.49,2.27983
15,63.619,144.644837,2.58393,2.3054,1011.61,2.31161
16,63.699,144.602848,2.589113,2.31932,1016.82,2.33195
17,63.09,144.825585,2.59091,2.33521,1013.89,2.31355
18,63.057,144.587131,2.593378,2.34476,1015.13,2.33147
19,63.364,144.739899,2.578662,2.3671,1016.68,2.37453
20,63.169,145.776024,2.600443,2.38487,1012.38,2.36259
21,63.154,144.543062,2.58407,2.40116,1011.18,2.38407
22,63.425,144.987197,2.594533,2.41062,1011.3,2.38212
23,63.256,144.713473,2.573248,2.3988,1011.98,2.40422
24,63.051,144.643637,2.616402,2.40986,1012.46,2.42442
25,63.302,144.286094,2.605383,2.42608,1013.73,2.43278
26,63.628,144.841259,2.593259,2.42726,1016.45,2.45784
27,63.171,145.096921,2.653999,2.44951,1014.64,2.46543
28,63.133,145.396676,2.604289,2.47024,1013.57,2.47835
29,63.091,145.908039,2.584311,2.48936,1015.94,2.4941
30,63.201,145.101806,2.591781,2.49523,1017.83,2.50481
31,63.067,144.516008,2.586931,2.50117,1015.33,2.52564
32,63.166,144.715349,2.600463,2.52774,1017.83,2.53565
33,63.111,144.800901,2.590389,2.5651,1013.31,2.54862
34,63.074,144.508698,2.599071,2.57616,1015.79,2.57113
35,63.274,144.75694,2.59138,2.59828,1019.39,2.58788
36,63.505,144.851228,2.603438,2.61093,1014.22,2.59929
37,63.256,144.732501,2.586923,2.62555,1016.78,2.60844
38,63.302,144.52521,2.58962,2.63792,1016.76,2.6211
39,63.318,144.612905,2.588874,2.64993,1015.55,2.63489
40,63.546,144.278148,2.595729,2.63504,1019.65,2.64987
41,63.452,144.621122,2.597847,2.64942,1015.8,2.66198
42,63.436,144.732033,2.604038,2.69492,1012.9,2.68221
43,63.34,144.974607,2.598578,2.70987,1011.53,2.69183
44,63.367,144.714332,2.595727,2.72113,1016.57,2.7072
45,63.509,145.869071,2.592643,2.729,1014.9,2.70594
46,63.483,145.161187,2.597863,2.75369,1014.83,2.73371
47,63.339,144.771373,2.596817,2.76197,1017.61,2.74691
48,63.486,147.376417,2.61082,2.77221,1017.01,2.7621
49,63.253,144.65273,2.595729,2.79226,1014.59,2.76573
50,63.235,144.466373,2.608337,2.77601,1014.56,2.78243
51,63.423,144.651753,2.59669,2.81894,1016.09,2.81028
52,63.315,144.512148,2.608382,2.82245,1015.71,2.83088
53,63.488,144.606969,2.614563,2.81286,1016.12,2.86842
54,63.331,144.282359,2.59549,2.82731,1021.38,2.86996
55,63.382,144.691407,2.667643,2.84756,1019.22,2.86037
56,63.418,144.658781,2.59407,2.85806,1015.48,2.88391
57,63.407,144.949231,2.603401,2.86213,1014.59,2.89907
58,63.259,144.843614,2.595839,2.8712,1014.19,2.90435
59,63.471,144.487443,2.588174,2.88393,1014.47,2.92751
60,63.387,144.435853,2.58938,2.90149,1013.17,2.94056
61,63.325,144.638646,2.599732,2.91594,1014.69,2.94995
62,63.296,144.674031,2.59216,2.92302,1018.61,2.98018
63,63.449,144.333986,2.599873,2.93719,1013.91,2.97245
64,63.275,144.295595,2.584662,2.96163,1018.76,2.99471
65,63.205,144.728273,2.590077,2.95308,1015.95,3.00182
66,63.294,144.665349,2.606086,2.97947,1016.54,3.00983
67,63.249,144.430773,2.596684,2.97984,1016.68,3.02261
68,63.252,144.78673,2.586079,2.99721,1015.97,3.03998
69,63.395,144.520583,2.612423,3.02416,1014.54,3.04713
70,63.264,144.794896,2.621771,3.0154,1016.37,3.05659
71,63.356,144.733637,2.605415,3.04838,1014.99,3.07059
72,63.789,144.925148,2.602315,3.04172,1015.98,3.0791
73,63.133,144.824703,2.608174,3.05785,1014.96,3.08872
74,63.457,144.677253,2.607329,3.08474,1017.81,3.10585
75,63.348,144.744046,2.614153,3.08491,1013.5,3.10415
76,63.271,145.037833,2.608857,3.09968,1015.89,3.12377
77,63.263,144.139247,2.615252,3.11118,1011.97,3.13675
78,63.565,144.311243,2.630378,3.12821,1020.38,3.14932
79,63.418,143.970064,2.607565,3.13606,1013.36,3.15614
80,63.538,144.137112,2.606762,3.17949,1013.98,3.19125
81,63.273,144.094873,2.614404,3.18408,1014.65,3.20391
82,63.247,144.536338,2.625951,3.19997,1014.06,3.23295
83,63.416,144.83078,2.631983,3.24345,1017.44,3.22187
84,63.181,144.244545,2.613326,3.22912,1015.72,3.27387
85,63.276,146.468814,2.624946,3.23313,1015.87,3.25788
86,63.059,144.755997,2.603407,3.24602,1017.15,3.27859
87,63.144,144.195594,2.612287,3.25481,1014.14,3.29592
88,63.094,144.685445,2.636364,3.27813,1018.78,3.32489
89,63.075,144.308437,2.627012,3.27514,1016.75,3.30269
90,63.659,144.037435,2.636072,3.28469,1014.61,3.3229
91,63.16,143.949102,2.622367,3.30609,1017.88,3.33642
92,63.18,144.088946,2.61914,3.31696,1013.34,3.35301
93,63.274,143.922456,2.627997,3.34862,1017.23,3.39346
94,63.266,144.302398,2.617805,3.37867,1015.63,3.3749
95,63.338,144.477357,2.64333,3.36521,1014.1,3.37835
96,63.524,144.461482,2.622035,3.3687,1014.31,3.42863
97,63.33,144.13609,2.614587,3.42481,1014.11,3.4302
98,63.408,144.470536,2.611168,3.39146,1021.39,3.40866
99,64.172,143.923076,2.608638,3.37718,1018.24,3.44917
