instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,1057.63,1075.828825,974.919848,2365.72,2373.78,2368.82
1,1057.6,1075.018609,2.009151,1863.92,2454.91,543.54
2,1057.64,1084.052469,1.99467,9.42071,2460.47,9.36675
3,1055.76,1075.156747,1.990228,9.40897,2457.31,9.37369
4,1057.61,1075.780768,1.988401,9.39048,2460.3,9.34084
5,1057.41,1076.289342,1.992036,9.41117,2460.89,9.36144
6,1061.19,1082.359951,1.98807,9.39976,2463.09,9.39803
7,1066.13,1075.571251,1.995592,9.48187,2459.7,9.40827
8,1056.87,1075.032974,1.987702,9.49493,2450.61,9.46393
9,1056.56,1075.772474,1.998064,9.56053,2445.83,9.50805
10,1057.34,1082.77026,1.995387,9.61921,2447.78,9.544
11,1058.86,1082.917613,1.996507,9.62672,2455.26,9.61212
12,1058.26,1075.940777,1.997637,9.67036,2452.2,9.68105
13,1059.41,1076.321824,1.996058,9.72545,2448.31,9.715
14,1067.91,1085.105536,1.996132,9.77069,2446.77,9.78622
15,1057.69,1080.435329,1.987761,9.79148,2453.27,9.83103
16,1056.69,1075.73531,1.988476,9.842,2450.87,9.8413
17,1057.91,1075.269957,1.992565,9.88142,2448.3,9.8718
18,1057.34,1083.862835,1.992755,9.94795,2443.69,9.89429
19,1067.26,1076.186214,2.005424,10.0051,2445.87,9.96066
20,1055.4,1075.139715,1.994934,10.0377,2451.15,10.0137
21,1061.68,1076.292405,1.98645,10.0598,2469.81,10.0384
22,1061.39,1088.841736,1.993236,10.0868,2465.6,10.0705
23,1061.15,1081.404933,1.999049,10.1146,2463.08,10.1189
24,1057.44,1074.516027,2.096976,10.1661,2463.34,10.1902
25,1055.68,1080.63891,1.995002,10.2136,2462.07,10.2036
26,1063.04,1090.229429,1.990119,10.2586,2463.53,10.2669
27,1060.73,1076.961594,1.9912,10.2965,2462.79,10.2938
28,1057.93,1075.433971,1.998778,10.3622,2462.88,10.3265
29,1062.12,1077.823893,1.985252,10.402,2462.62,10.3686
30,1058.1,1083.936321,1.998376,10.4487,2464.05,10.4259
31,1058.23,1077.488672,1.994049,10.5039,2462.78,10.4542
