instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.747,0.071428,0.071877,0.163329,0.148502,0.155148,0.151777,0.14815
1,0.748,0.068352,1.423213,0.164044,0.010339,0.010334,0.010283,0.009096
2,0.751,0.070337,1.4161,0.16369,0.011783,0.010041,0.010016,0.008898
3,0.796,0.073767,1.424516,0.162618,0.010011,0.009866,0.009946,0.008931
4,0.755,0.071861,1.437019,0.160676,0.011705,0.009854,0.009962,0.008995
5,0.751,0.070629,1.430151,0.158814,0.011897,0.012047,0.010119,0.009014
6,0.752,0.071125,1.426553,0.163445,0.028079,0.028073,0.028208,0.024812
7,0.74,0.072004,1.434774,0.159757,0.018828,0.018652,0.018705,0.016581
8,0.757,0.070117,1.434095,0.160733,0.018937,0.01866,0.01867,0.017065
9,0.75,0.07205,1.424992,0.163989,0.022478,0.018729,0.018802,0.016724
10,0.755,0.070973,1.429591,0.160643,0.0224,0.018777,0.018924,0.016847
11,0.746,0.070501,1.430248,0.160965,0.018861,0.023098,0.01884,0.017081
12,0.747,0.068772,1.426985,0.160158,0.022312,0.018791,0.022266,0.016891
13,0.757,0.07147,1.426779,0.160609,0.022228,0.018856,0.018853,0.016904
14,0.763,0.071082,1.435067,0.162448,0.022509,0.018914,0.019125,0.016956
15,0.753,0.073629,1.439751,0.158346,0.022355,0.018933,0.019024,0.017014
16,0.798,0.070508,1.434311,0.160213,0.019002,0.018918,0.019076,0.017349
17,0.76,0.070428,1.435103,0.160415,0.022395,0.018943,0.019012,0.017065
18,0.755,0.069564,1.434909,0.162589,0.022422,0.01894,0.019063,0.017051
19,0.755,0.070183,1.428381,0.163745,0.022311,0.018979,0.019148,0.017639
20,0.772,0.070008,1.438613,0.165235,0.022362,0.019002,0.019128,0.017412
21,0.756,0.071978,1.437253,0.163832,0.022398,0.022612,0.019212,0.017466
22,0.752,0.075079,1.445362,0.161966,0.02247,0.01952,0.019221,0.01749
23,0.743,0.071236,1.441702,0.160174,0.026789,0.02265,0.023621,0.017415
24,0.751,0.069792,1.437999,0.161221,0.022412,0.022174,0.022486,0.017388
25,0.761,0.072985,1.442361,0.162369,0.022249,0.025559,0.022334,0.017304
26,0.762,0.070771,1.427154,0.163828,0.025689,0.02301,0.02248,0.017259
27,0.764,0.072623,1.440218,0.159677,0.022523,0.022226,0.022604,0.017565
28,0.761,0.070168,1.441131,0.162863,0.023011,0.02228,0.022889,0.017622
29,0.771,0.073376,1.441659,0.162129,0.025356,0.022624,0.022312,0.017573
30,0.766,0.070193,1.438976,0.163317,0.025865,0.022575,0.022694,0.016474
31,0.763,0.071191,1.440475,0.16272,0.026069,0.022919,0.022787,0.017438
32,0.764,0.06982,1.449224,0.162972,0.025937,0.023072,0.022843,0.017386
33,0.757,0.071503,1.445885,0.160865,0.022856,0.02317,0.022974,0.017514
34,0.757,0.072516,1.446731,0.162721,0.022858,0.023062,0.022899,0.017467
35,0.769,0.071164,1.44524,0.164017,0.025613,0.022941,0.022852,0.01772
36,0.77,0.070625,1.446459,0.159943,0.025455,0.022865,0.022415,0.017549
37,0.767,0.070972,1.445165,0.163449,0.022624,0.023605,0.02265,0.01783
38,0.774,0.070366,1.44765,0.162853,0.025455,0.023044,0.022459,0.01766
39,0.755,0.07028,1.44773,0.162834,0.022349,0.023004,0.022565,0.017633
40,0.773,0.071809,1.445839,0.160929,0.022482,0.022456,0.02559,0.0176
41,0.759,0.070765,1.43575,0.164526,0.022415,0.022522,0.022415,0.017793
42,0.753,0.070566,1.441236,0.163343,0.025401,0.02253,0.022457,0.018034
43,0.748,0.070301,1.434271,0.161938,0.02265,0.025917,0.022696,0.017986
44,0.749,0.070559,1.4428,0.164718,0.025577,0.022508,0.02242,0.018088
45,0.8109999999999999,0.071413,1.455233,0.165576,0.025511,0.022474,0.022537,0.018042
46,0.744,0.072364,1.441604,0.162536,0.022478,0.022535,0.022526,0.017994
47,0.744,0.071248,1.430802,0.162435,0.022785,0.022633,0.022842,0.018281
48,0.748,0.070905,1.441738,0.163253,0.022816,0.02248,0.022792,0.018359
49,0.792,0.06975,1.450317,0.163912,0.025574,0.02311,0.022559,0.018304
50,0.738,0.07111,1.447046,0.159215,0.022546,0.022798,0.022517,0.018103
51,0.75,0.070773,1.438944,0.161106,0.025849,0.022714,0.022717,0.018197
52,0.742,0.071409,1.442693,0.160238,0.025798,0.022779,0.022906,0.018105
53,0.75,0.072591,1.43972,0.166428,0.022608,0.022629,0.022613,0.018182
54,0.74,0.072142,1.445801,0.163123,0.025963,0.025949,0.022992,0.018125
55,0.751,0.070853,1.448241,0.160946,0.022907,0.022873,0.022991,0.018333
56,0.764,0.071961,1.444405,0.161142,0.026119,0.025983,0.023233,0.018291
57,0.771,0.072055,1.447176,0.159322,0.026092,0.022747,0.023253,0.018185
58,0.758,0.071719,1.447591,0.163216,0.022578,0.022749,0.022678,0.018227
