instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.0,0.414732,0.421973,0.113112,0.158417,0.159616,0.163225,0.151762
1,0.0,0.402509,0.408998,0.114823,0.002239,0.00231,0.002288,0.002189
2,0.0,0.397484,0.407393,0.112984,0.002228,0.002227,0.002187,0.002101
3,0.0,0.402035,0.406377,0.113095,0.002078,0.002187,0.002166,0.002081
4,0.0,0.395865,0.404051,0.113596,0.002155,0.002173,0.002174,0.002084
5,0.0,0.395172,0.403791,0.112713,0.002123,0.002239,0.002184,0.002147
6,0.0,0.398544,0.412819,0.112419,0.002127,0.002301,0.0022,0.002168
7,0.0,0.399891,0.407331,0.112977,0.002172,0.002218,0.00223,0.002128
8,0.0,0.397986,0.407731,0.115151,0.002162,0.002246,0.002233,0.002185
9,0.0,0.395566,0.404851,0.112345,0.002217,0.002276,0.002266,0.002183
10,0.0,0.396576,0.408942,0.115791,0.002168,0.002257,0.002222,0.002216
11,0.0,0.39647,0.404912,0.112821,0.002226,0.002264,0.002219,0.002189
12,0.0,0.399504,0.400486,0.112488,0.002184,0.002286,0.002224,0.002176
13,0.0,0.395029,0.406751,0.1164,0.002182,0.002271,0.002251,0.002206
14,0.0,0.397601,0.407408,0.112622,0.002185,0.002289,0.002255,0.002234
15,0.0,0.397834,0.408985,0.113109,0.002292,0.002398,0.002377,0.002408
16,0.0,0.399652,0.405623,0.114488,0.002224,0.002307,0.002282,0.002226
17,0.0,0.402254,0.403844,0.111611,0.00219,0.002285,0.002251,0.002157
18,0.0,0.402581,0.402587,0.113666,0.00224,0.002293,0.002257,0.002235
19,0.0,0.403051,0.412551,0.112676,0.002199,0.002313,0.002224,0.002236
20,0.0,0.396566,0.403905,0.111495,0.002195,0.002299,0.002238,0.002223
21,0.0,0.39783,0.402788,0.11312,0.002232,0.002314,0.002324,0.002229
22,0.0,0.397683,0.407345,0.113958,0.002216,0.002305,0.002274,0.002237
23,0.0,0.398981,0.405493,0.112887,0.002251,0.002297,0.002279,0.002225
24,0.0,0.394594,0.407136,0.114373,0.002239,0.002306,0.002302,0.002253
25,0.0,0.394252,0.406552,0.112838,0.002207,0.002308,0.002271,0.002303
26,0.0,0.399137,0.403735,0.114653,0.002218,0.002298,0.003097,0.002229
27,0.0,0.396114,0.406152,0.113283,0.002224,0.002344,0.002279,0.002277
28,0.0,0.399014,0.408354,0.112845,0.002324,0.002338,0.002329,0.00227
29,0.0,0.393717,0.405288,0.113671,0.002299,0.002354,0.002311,0.002287
30,0.0,0.398153,0.410189,0.103155,0.002231,0.002368,0.002255,0.002286
31,0.0,0.397012,0.406174,0.112617,0.002258,0.002356,0.002295,0.002267
32,0.0,0.395792,0.407431,0.115836,0.002289,0.002351,0.002302,0.002269
33,0.0,0.399821,0.404178,0.114663,0.002277,0.002329,0.002347,0.002285
34,0.0,0.395105,0.408653,0.113677,0.002294,0.002381,0.00232,0.00231
35,0.0,0.399495,0.403039,0.111029,0.002254,0.002428,0.002322,0.002311
36,0.0,0.396911,0.404586,0.113535,0.002536,0.002649,0.002568,0.002864
37,0.0,0.397976,0.410101,0.116914,0.002303,0.002377,0.002358,0.002285
38,0.0,0.398343,0.417883,0.113819,0.002328,0.002416,0.002339,0.002305
39,0.0,0.399764,0.414129,0.106645,0.002303,0.002406,0.002333,0.0023
40,0.0,0.395158,0.406291,0.11524,0.002326,0.002377,0.002371,0.002301
41,0.0,0.397639,0.415244,0.114698,0.002317,0.002406,0.002359,0.002301
42,0.0,0.395561,0.409291,0.115232,0.002325,0.002415,0.00235,0.002257
43,0.0,0.397445,0.41246,0.113381,0.002307,0.00239,0.002343,0.002291
44,0.0,0.394734,0.405535,0.103122,0.002285,0.002411,0.002358,0.002306
45,0.0,0.399338,0.411755,0.114963,0.002315,0.002386,0.002383,0.002301
46,0.0,0.397425,0.410434,0.112968,0.002319,0.002422,0.002415,0.002319
47,0.0,0.398633,0.408476,0.11324,0.002329,0.002468,0.002373,0.002349
48,0.0,0.398767,0.412336,0.113442,0.00233,0.002403,0.002364,0.002299
49,0.0,0.398398,0.405677,0.114121,0.002309,0.002463,0.00237,0.002304
50,0.0,0.396062,0.405073,0.115471,0.002341,0.002417,0.002452,0.002327
51,0.0,0.395855,0.404978,0.115915,0.002314,0.002427,0.002361,0.002331
52,0.0,0.396623,0.416769,0.114648,0.002328,0.002448,0.002388,0.002322
53,0.0,0.397578,0.409899,0.113617,0.002322,0.002431,0.002383,0.002362
54,0.0,0.394572,0.408821,0.117696,0.002357,0.002468,0.002426,0.002368
55,0.0,0.397017,0.40527,0.113507,0.002362,0.002465,0.002407,0.002386
56,0.0,0.397368,0.405475,0.114257,0.002327,0.002464,0.002397,0.002366
57,0.0,0.399196,0.407837,0.113592,0.002338,0.00244,0.002387,0.002382
58,0.0,0.392699,0.405194,0.112357,0.00236,0.002448,0.002408,0.002349
