instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.01,0.00782,0.007685,0.124762,0.038636,0.038785,0.038886,0.067649
1,0.01,0.00667,0.008634,0.123864,0.036599,0.036317,0.036264,0.063961
2,0.02,0.006661,0.008656,0.123326,0.037622,0.037572,0.037808,0.063035
3,0.01,0.007493,0.008673,0.121663,0.037949,0.037805,0.037263,0.063077
4,0.01,0.007076,0.008845,0.122638,0.037879,0.037921,0.038086,0.063526
5,0.01,0.007124,0.008877,0.123874,0.036587,0.038041,0.038247,0.064367
6,0.01,0.007103,0.008771,0.122374,0.038957,0.039398,0.038688,0.158516
7,0.01,0.006703,0.008736,0.122473,0.040931,0.039187,0.039382,0.152186
8,0.01,0.007154,0.00874,0.122995,0.039945,0.039437,0.039722,0.158495
9,0.01,0.006571,0.008767,0.125268,0.040343,0.040092,0.040096,0.156927
10,0.01,0.007124,0.008698,0.123693,0.040765,0.039471,0.040928,0.159002
11,0.01,0.007109,0.008754,0.123292,0.041353,0.041416,0.041509,0.159947
12,0.01,0.007045,0.00868,0.12498,0.042684,0.042785,0.042604,0.162606
13,0.01,0.007121,0.008671,0.122985,0.043362,0.043006,0.043159,0.167341
14,0.01,0.007012,0.008715,0.122722,0.043839,0.043698,0.044019,0.163367
15,0.01,0.006643,0.008706,0.123317,0.044368,0.044247,0.044458,0.167974
16,0.01,0.00702,0.008831,0.124245,0.045902,0.044412,0.045648,0.169295
17,0.01,0.006645,0.008694,0.123519,0.047153,0.045841,0.047079,0.168308
18,0.01,0.007027,0.008782,0.123062,0.048298,0.047336,0.048498,0.169556
19,0.01,0.007031,0.008805,0.125404,0.049358,0.048155,0.049326,0.170424
20,0.01,0.006599,0.008739,0.124388,0.050473,0.049596,0.050889,0.174286
21,0.01,0.006599,0.008735,0.122977,0.052837,0.052457,0.053788,0.175647
22,0.01,0.006733,0.008704,0.123431,0.054181,0.053467,0.054634,0.177307
23,0.01,0.006595,0.008751,0.12328,0.052711,0.053421,0.053579,0.178969
24,0.01,0.007071,0.008703,0.125819,0.054903,0.054221,0.054773,0.178855
25,0.01,0.006599,0.008816,0.123391,0.056553,0.055465,0.055755,0.180726
26,0.01,0.00661,0.008732,0.124513,0.05779,0.057712,0.058367,0.182934
27,0.01,0.007086,0.008691,0.123524,0.060977,0.060583,0.061261,0.183988
28,0.01,0.006619,0.008748,0.124024,0.063437,0.065058,0.063998,0.187142
29,0.01,0.006618,0.008721,0.123755,0.065621,0.066184,0.066158,0.187381
30,0.01,0.006729,0.008717,0.124332,0.070089,0.069945,0.070511,0.186451
31,0.01,0.006593,0.008732,0.123556,0.072801,0.072899,0.07339,0.189957
32,0.01,0.006617,0.008819,0.124137,0.075846,0.075187,0.075468,0.190595
33,0.01,0.006608,0.008798,0.125591,0.077879,0.078508,0.078552,0.191652
34,0.01,0.00669,0.008744,0.123681,0.081846,0.081906,0.083122,0.194125
35,0.01,0.006591,0.008745,0.123538,0.083969,0.084568,0.083793,0.194382
36,0.01,0.006611,0.008796,0.124751,0.085621,0.086699,0.086708,0.195813
37,0.01,0.006582,0.008771,0.125364,0.090763,0.091019,0.090554,0.196319
38,0.01,0.00657,0.008752,0.1263,0.094246,0.094164,0.094455,0.196579
39,0.01,0.006621,0.008844,0.132064,0.096904,0.097487,0.098171,0.196948
40,0.01,0.00672,0.008708,0.12503,0.100069,0.100369,0.101249,0.197849
41,0.01,0.007167,0.008717,0.125098,0.100922,0.102553,0.101667,0.199444
42,0.01,0.0071,0.008764,0.124838,0.104401,0.10519,0.105813,0.202001
43,0.01,0.006586,0.008725,0.123604,0.107475,0.107672,0.108344,0.204271
44,0.01,0.006683,0.00875,0.124076,0.107406,0.123196,0.108001,0.204412
45,0.01,0.006573,0.008752,0.124152,0.112146,0.113023,0.11242,0.205478
46,0.01,0.006582,0.008775,0.124581,0.114088,0.115965,0.114705,0.205679
47,0.01,0.006607,0.008739,0.124667,0.116265,0.118102,0.117734,0.206796
48,0.01,0.006689,0.008755,0.12442,0.118086,0.119364,0.119209,0.208529
49,0.01,0.006622,0.008759,0.124676,0.119774,0.121106,0.119812,0.207431
50,0.01,0.006608,0.008825,0.124701,0.121923,0.122774,0.123159,0.209849
51,0.01,0.006621,0.008769,0.124571,0.12094,0.1241,0.12138,0.21142
52,0.01,0.006638,0.00877,0.125131,0.122106,0.122521,0.123267,0.210892
53,0.01,0.006641,0.008842,0.124171,0.123152,0.125185,0.124701,0.210948
54,0.01,0.006618,0.00877,0.126147,0.125955,0.127321,0.12716,0.212165
55,0.01,0.007059,0.008793,0.122597,0.127767,0.12948,0.128772,0.213785
56,0.01,0.007125,0.008958,0.122362,0.128802,0.130455,0.129347,0.214948
57,0.01,0.007107,0.008752,0.122261,0.130089,0.130902,0.130303,0.214602
58,0.01,0.007107,0.008799,0.12341,0.129709,0.131004,0.130653,0.217294
