instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
0,0.757,0.493986,0.501541,0.401203,0.187598,0.194386,0.191126,0.216039
1,0.758,0.477536,1.840849,0.4027309999999999,0.047277,0.046973,0.046883,0.07667
2,0.771,0.474487,1.832152,0.3999999999999999,0.049931,0.048156,0.04838,0.075604
3,0.806,0.483298,1.839569,0.3973759999999999,0.048483,0.048002,0.04773,0.075821
4,0.765,0.474805,1.849918,0.39691,0.050136,0.048102,0.048604,0.076394
5,0.761,0.472929,1.842822,0.395401,0.049025,0.050661,0.048913,0.077431
6,0.762,0.476774,1.848146,0.398238,0.067605,0.068033,0.067443,0.187471
7,0.75,0.478601,1.850844,0.395207,0.0603,0.058414,0.058653,0.172845
8,0.767,0.475263,1.850569,0.398879,0.059435,0.05867,0.058945,0.179626
9,0.76,0.474189,1.838613,0.4016019999999999,0.063364,0.059407,0.059441,0.17782
10,0.765,0.474678,1.847233,0.400127,0.063694,0.058582,0.060387,0.18009
11,0.756,0.474084,1.843917,0.397078,0.060767,0.065089,0.060896,0.181195
12,0.757,0.475325,1.836154,0.397626,0.065558,0.061918,0.065432,0.183818
13,0.767,0.473623,1.842204,0.399994,0.066147,0.062203,0.062566,0.188588
14,0.773,0.475697,1.851193,0.397792,0.066869,0.063159,0.063666,0.184626
15,0.763,0.478108,1.857444,0.394772,0.067068,0.063517,0.063818,0.18942
16,0.808,0.477184,1.848769,0.3989459999999999,0.065461,0.063664,0.065283,0.191023
17,0.77,0.479331,1.847644,0.395545,0.070124,0.065119,0.066646,0.189795
18,0.765,0.479175,1.846281,0.399317,0.071292,0.066614,0.068122,0.191044
19,0.765,0.480269,1.84974,0.401825,0.072247,0.067616,0.069037,0.19252
20,0.782,0.473177,1.85126,0.401118,0.073407,0.068939,0.0706,0.196217
21,0.766,0.47641,1.848779,0.399929,0.075816,0.075561,0.073577,0.19771
22,0.762,0.479499,1.861414,0.399355,0.077227,0.073492,0.07444,0.199299
23,0.753,0.476815,1.85595,0.396341,0.080096,0.076586,0.077767,0.201076
24,0.761,0.47146,1.853841,0.401413,0.077665,0.076733,0.077607,0.201033
25,0.771,0.473839,1.857733,0.398598,0.079154,0.081368,0.078436,0.202888
26,0.772,0.476521,1.839623,0.4029939999999999,0.083824,0.08106,0.081228,0.205027
27,0.774,0.475826,1.855064,0.3964839999999999,0.083994,0.083165,0.084373,0.206379
28,0.771,0.475805,1.858236,0.399732,0.086954,0.087687,0.087406,0.209557
29,0.781,0.473714,1.855671,0.399555,0.091336,0.089341,0.088827,0.209716
30,0.776,0.47508,1.857884,0.390804,0.096474,0.093015,0.093714,0.207827
31,0.773,0.4748,1.855385,0.398893,0.099458,0.096382,0.096743,0.212383
32,0.774,0.472232,1.865477,0.402945,0.102339,0.098807,0.098871,0.212984
33,0.767,0.477934,1.858864,0.401119,0.101313,0.10231,0.102088,0.214108
34,0.767,0.474315,1.86413,0.400079,0.105334,0.105617,0.106609,0.216604
35,0.779,0.477254,1.857028,0.398584,0.10994,0.108116,0.107001,0.217164
36,0.78,0.47415,1.859844,0.398229,0.111616,0.110232,0.109662,0.218468
37,0.777,0.475534,1.86404,0.405727,0.11398,0.115283,0.11378,0.219059
38,0.784,0.475282,1.874289,0.402972,0.120274,0.117852,0.117489,0.219291
39,0.765,0.476668,1.870706,0.401543,0.119867,0.121176,0.12135,0.219661
40,0.783,0.47369,1.860839,0.401199,0.123144,0.123363,0.127425,0.220507
41,0.769,0.475575,1.859713,0.404322,0.123705,0.125635,0.124454,0.222337
42,0.763,0.47323,1.859294,0.403413,0.130361,0.128299,0.128835,0.22505
43,0.758,0.474335,1.855459,0.3989229999999999,0.130741,0.134192,0.131653,0.227282
44,0.759,0.471979,1.857088,0.391916,0.133352,0.146054,0.130783,0.227555
45,0.821,0.477328,1.875743,0.4046909999999999,0.138204,0.136051,0.135507,0.228524
46,0.754,0.476375,1.860815,0.400085,0.137105,0.139112,0.13776,0.228822
47,0.754,0.476491,1.84802,0.400342,0.139649,0.141311,0.141177,0.230096
48,0.758,0.476364,1.862832,0.401115,0.141543,0.14241,0.142618,0.231952
49,0.802,0.474773,1.864756,0.402709,0.145905,0.144867,0.142916,0.230798
50,0.748,0.473784,1.860948,0.399387,0.145027,0.1462,0.146237,0.233235
51,0.76,0.473252,1.852694,0.401592,0.147395,0.147463,0.144699,0.234669
52,0.752,0.474674,1.868234,0.4000169999999999,0.148534,0.145967,0.146815,0.23427
53,0.76,0.476813,1.858464,0.404216,0.146317,0.148434,0.147885,0.234478
54,0.75,0.473335,1.863394,0.406966,0.152475,0.153861,0.150704,0.235622
55,0.761,0.474932,1.862306,0.39705,0.151333,0.152976,0.152398,0.237493
56,0.774,0.476457,1.85884,0.397761,0.155596,0.157084,0.153228,0.238563
57,0.781,0.478362,1.863769,0.395175,0.156864,0.154311,0.154217,0.238114
58,0.768,0.471529,1.861587,0.398983,0.152888,0.154429,0.153928,0.240851
